address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 1160 Mission Street #2007,2,2,1043,1300000,South of Market,4
Address: 260 King Street #475,1,1,903,750000,South of Market,3
Address: 560 Missouri Street #B,4,3,1425,1495000,Potrero Hill,6
Address: 350 Missouri Street,3,3,2231,2700000,Potrero Hill,10
Address: 3658 Folsom Street,3,3,1300,1530000,Bernal Heights,4
Address: 156 Lowell Street,1,2,1250,460000,Crocker Amazon,5
Address: 735 Lakeview Avenue,1,3,1032,532000,Oceanview,6
Address: 430 Capistrano Avenue,1,2,1200,1050000,Mission Terrace,5
Address: 4135 23rd Street,3.5,4,2700,3500000,Noe Valley,9
Address: 440 Steiner Street,2,3,2016,1500000,Hayes Valley,7
Address: 414 Somerset Street,1,3,1798,848000,Portola,8
Address: 300 Berry Street #813,1,1,761,1000000,South of Market,4
Address: 370 Church Street #F,1,1,780,863000,Eureka Valley - Dolores Heights - Castro,4
Address: 10 22nd Avenue,5,5,5786,4888000,Lake,12
Address: 1847 10th Avenue,2,2,1688,1000000,Inner Sunset,6
Address: 442 Mangels Avenue,3,4,1619,210000,Sunnyside,7
Address: 650 Turk Street #706,1,0,398,525000,Van Ness - Civic Center,4
Address: 66 Rondel Place,4.5,4,2615,2300000,Mission,9
Address: 1610 Sacramento Street #5,2,2,1252,1450000,Nob Hill,4
Address: 1536 Pacific Avenue #1,2,3,1444,2500000,Nob Hill,6
Address: 541 Prentiss Street,2,3,1200,171000,Bernal Heights,5
Address: 31 Hartford Street,1,2,1265,871500,Eureka Valley - Dolores Heights - Castro,5
Address: 1600 Webster Street #106,1,1,859,900000,Lower Pacific Heights,4
Address: 233 18th Avenue,1,2,1308,1020000,Central Richmond,5
Address: 248 17th Avenue,1.5,2,1429,1410500,Central Richmond,6
Address: 1374 45th Avenue,1,3,1771,951000,Outer Sunset,8
Address: 1087 Palou Avenue,2,3,1452,430000,Bayview,8
Address: 1486 Underwood Avenue,2,3,1115,680000,Bayview,6
Address: 350 Lansdale Avenue,3,3,2378,1440000,Westwood Highlands,8
Address: 120 Ulloa Street,2.5,2,2063,1700000,Forest Hill Extension,10
Address: 159 Middlefield Drive,3,3,2200,234000,Lakeshore,6
Address: 8 Dunsmuir Street,1,2,1250,700000,Portola,5
Address: 22 West View Avenue,1,2,970,744000,Portola,5
Address: 4160 17th Street,2,2,911,1100000,Corona Heights,4
Address: 1315 21st Avenue,1.25,2,1621,1325000,Central Sunset,6
Address: 4229 26th Street,3,3,2048,2525000,Noe Valley,7
Address: 361 Texas Street,2,3,2080,2300000,Potrero Hill,7
Address: 667 Shotwell Street #A,1,1,1212,775000,Mission,4
Address: 2919 Pacific Avenue #6,2,2,1125,1457000,Pacific Heights,4
Address: 2455 14th Avenue,3.75,4,1846,1525000,West Portal,5
Address: 30 Beaumont Avenue,1,3,1164,550000,Lone Mountain,6
Address: 108 16th Avenue,5,7,4808,3800000,Lake,15
Address: 766 30th Avenue,4,4,2520,1900000,Central Richmond,8
Address: 601 Van Ness Avenue #629,1,1,706,620000,Van Ness - Civic Center,3
Address: 260 King Street #815,1,1,903,800000,South of Market,3
Address: 2040 Fell Street #12,1,2,1593,872500,North Panhandle,4
Address: 784 Spruce Street,3,8,2600,1535000,Lone Mountain,10
Address: 1444 17th Avenue #101,3,3,1902,1600000,Inner Sunset,6
Address: 1618 12th Avenue,3,4,2900,1625000,Inner Sunset,8
Address: 5696 Diamond Heights Boulevard,3.5,3,2435,2050000,Diamond Heights,7
Address: 901 Post Street #2,2,3,1207,885000,Downtown,9
Address: 66 Cleary Court #1504,2,3,1106,960000,Western Addition,6
Address: 1800 Bryant Street #202,2,1,935,825000,Mission,3
Address: 3919 17th Street,1,2,968,1065000,Eureka Valley - Dolores Heights - Castro,4
Address: 325 Locust Street,2,3,1950,1925000,Presidio Heights,7
Address: 50 Longview Court,2,4,1703,1250000,Midtown Terrace,8
Address: 2243 Franklin Street,2,2,1463,1950000,Pacific Heights,7
Address: 576 Brunswick Street,1,2,1200,609000,Crocker Amazon,5
Address: 79 Seward Street,2,3,2650,2350000,Eureka Valley - Dolores Heights - Castro,8
Address: 2105 Buchanan Street #6,2,3,1700,1770000,Pacific Heights,5
Address: 2017 Buchanan Street,4,4,2850,2800000,Lower Pacific Heights,7
Address: 1015 Ashbury Street #2,2,2,1252,1350000,Parnassus - Ashbury,4
Address: 170 Bridgeview Drive,2,3,1297,725000,Silver Terrace,6
Address: 884 Ingerson Avenue,3,5,1789,850000,Bayview,8
Address: 475 Princeton Street,1,2,1254,860000,Portola,5
Address: 333 1st Street #1702,1,1,713,885000,South Beach,3
Address: 861 Rhode Island Street #A,2.5,4,2166,1600000,Potrero Hill,11
Address: 415 Amherst Street,1,2,1000,760000,Portola,4
Address: 201 Holly Park Circle,2,3,2250,227500,Bernal Heights,8
Address: 30 Otsego Avenue,2,3,1806,1300000,Mission Terrace,7
Address: 80 Venus Street,1.5,3,1200,810000,Silver Terrace,5
Address: 1816 Castro Street,1,2,884,850000,Noe Valley,5
Address: 149 Laidley Street,2,3,2100,1950000,Glen Park,10
Address: 737 Tehama Street #1,2,2,977,1030000,South of Market,5
Address: 319 De Long Street,1,2,875,565000,Outer Mission,4
Address: 1655 48th Avenue,1,2,697,762000,Outer Sunset,4
Address: 4219 Folsom Street,2,3,1539,950000,Bernal Heights,7
Address: 403 Main Street #518N,2,2,1118,1415000,South Beach,5
